month,symbol,day,med,hi,lo,hi_dev,lo_dev,bars
2023_02,ASMS,2023-02-09,13.2,26.35,13.2,0.9962121212121213,0.0,71
2023_06,EDELWEISS,2023-06-02,36.75,55.0,35.0,0.4965986394557824,0.04761904761904767,71
2023_06,VBL,2023-06-14,322.8,644.4,321.0,0.9962825278810408,0.005576208178438735,75
2023_09,JLHL,2023-09-18,1067.1,1108.95,500.0,0.03921844250773132,0.5314403523568549,71
2023_09,KALAMANDIR,2023-09-27,241.05,247.0,115.0,0.02468367558597806,0.5229205559012653,71
2023_09,RISHABH,2023-09-11,452.5,470.0,132.3,0.03867403314917128,0.7076243093922652,71
2023_09,SAMHI,2023-09-22,134.5,146.6,50.0,0.08996282527881028,0.6282527881040892,71
2023_09,ZAGGLE,2023-09-22,164.35,176.0,82.0,0.07088530574992391,0.501064800730149,71
2023_12,SUNCLAY,2023-12-29,1511.75,2348.95,1439.8,0.5537952703820075,0.04759384818918477,71
2024_01,EPACK,2024-01-30,215.15,224.5,120.0,0.043458052521496704,0.4422495933069951,71
2024_02,ENTERO,2024-02-16,1192.95,1258.0,378.0,0.054528689383461115,0.6831384383251603,71
2024_02,JSFB,2024-02-14,391.6,409.0,200.0,0.044433094994892786,0.4892747701736466,71
2024_03,MUKKA,2024-03-07,42.25,65.0,38.25,0.5384615384615385,0.09467455621301779,71
2024_04,UEL,2024-04-16,27.1,27.1,15.95,0.0,0.411439114391144,71
2024_05,TBOTEK,2024-05-15,1372.75,1455.95,301.0,0.060608268075031946,0.7807321070843198,71
2024_05,UEL,2024-05-27,160.95,160.95,83.0,0.0,0.4843118981050015,69
2024_07,RAYMOND,2024-07-11,2001.3,3000.0,1810.7,0.49902563333833005,0.09523809523809523,69
2024_09,ARKADE,2024-09-24,172.45,256.0,164.8,0.48448825746593216,0.044360684256306016,71
2024_09,ECOSMOBLTY,2024-09-04,434.35,456.0,180.0,0.049844595372395384,0.5855876597214229,71
2024_11,KMEW,2024-11-14,1037.5,1915.0,975.0,0.8457831325301204,0.06024096385542166,75
2026_03,RMDRIP,2026-03-20,24.99,42.85,24.99,0.71468587434974,0.0,75
2026_03,RMDRIP,2026-03-23,23.79,42.74,23.75,0.7965531736023541,0.0016813787305590688,75
2026_03,RMDRIP,2026-03-24,23.28,40.31,22.56,0.7315292096219932,0.030927835051546504,75
2026_03,RMDRIP,2026-03-25,38.13,39.59,21.47,0.038290060319958075,0.4369263047469185,75
2026_03,RMDRIP,2026-03-27,35.79,38.9,20.88,0.08689578094439776,0.41659681475272425,75
2026_03,RMDRIP,2026-03-30,35.88,39.61,20.91,0.10395763656633217,0.41722408026755853,75
2026_04,RMDRIP,2026-04-01,24.01,41.16,24.0,0.714285714285714,0.0004164931278634043,75
2026_04,RMDRIP,2026-04-02,25.14,43.21,23.1,0.718774860779634,0.08114558472553701,75
2026_04,RMDRIP,2026-04-06,26.11,45.09,25.3,0.7269245499808503,0.031022596706242744,75
2026_04,RMDRIP,2026-04-07,27.61,47.34,24.99,0.7145961608113005,0.09489315465411086,75
2026_04,RMDRIP,2026-04-08,28.17,49.7,26.39,0.7642882499112531,0.06318778842740502,75
2026_04,RMDRIP,2026-04-09,26.8,48.06,26.31,0.7932835820895523,0.018283582089552275,75
