setup,sl_pct,t1r,t2r,t1q_pct,time_stop,pre_n,pre_pf,pre_wr,pre_win_mo_pct,pre_top_mo_pct,post_n,post_pf,post_wr,post_net,post_win_mo_pct,post_top_mo_pct
c4a,0.05,0.5,1.0,0,11:30,1252,0.667,43.3,24.0,15.7,1119,0.758,47.0,-110568.0,13.3,31.8
c4b,0.05,0.5,1.0,0,11:30,1088,0.814,49.0,32.0,24.9,978,0.752,46.3,-104307.0,20.0,29.2
c4a,0.05,0.5,1.0,0,13:00,1252,0.695,43.8,28.0,17.7,1119,0.776,46.8,-107377.0,13.3,40.5
c4b,0.05,0.5,1.0,0,13:00,1088,0.829,50.0,32.0,29.8,978,0.763,48.3,-105165.0,26.7,24.8
c4a,0.05,0.5,1.0,0,14:30,1252,0.703,44.7,28.0,17.2,1119,0.816,49.3,-89802.0,20.0,52.2
c4b,0.05,0.5,1.0,0,14:30,1088,0.846,49.4,36.0,31.5,978,0.744,47.1,-121628.0,20.0,20.2
c4a,0.05,0.5,1.0,50,11:30,1252,0.732,54.6,28.0,19.3,1119,0.782,56.7,-78912.0,20.0,31.8
c4b,0.05,0.5,1.0,50,11:30,1088,0.88,61.2,44.0,38.9,978,0.758,56.6,-80980.0,20.0,31.1
c4a,0.05,0.5,1.0,50,13:00,1252,0.772,57.3,40.0,25.0,1119,0.811,57.7,-70683.0,20.0,40.0
c4b,0.05,0.5,1.0,50,13:00,1088,0.907,63.7,40.0,48.1,978,0.786,59.3,-74165.0,33.3,29.3
c4a,0.05,0.5,1.0,50,14:30,1252,0.785,59.0,36.0,25.9,1119,0.852,60.4,-55801.0,20.0,55.1
c4b,0.05,0.5,1.0,50,14:30,1088,0.928,63.6,48.0,60.2,978,0.775,58.8,-81443.0,40.0,23.7
c4a,0.05,0.5,1.5,0,11:30,1252,0.686,39.8,28.0,16.4,1119,0.755,43.4,-119386.0,13.3,33.6
c4b,0.05,0.5,1.5,0,11:30,1088,0.809,43.7,32.0,30.6,978,0.746,41.8,-115424.0,26.7,25.0
c4a,0.05,0.5,1.5,0,13:00,1252,0.731,39.7,36.0,19.2,1119,0.785,41.9,-112547.0,13.3,45.0
c4b,0.05,0.5,1.5,0,13:00,1088,0.852,44.7,44.0,40.7,978,0.774,42.7,-110142.0,20.0,20.6
c4a,0.05,0.5,1.5,0,14:30,1252,0.746,40.2,32.0,21.1,1119,0.837,44.2,-87488.0,26.7,58.2
c4b,0.05,0.5,1.5,0,14:30,1088,0.877,43.1,52.0,47.2,978,0.748,40.7,-133104.0,20.0,17.7
c4a,0.05,0.5,1.5,50,11:30,1252,0.762,54.3,32.0,20.8,1119,0.803,56.2,-71363.0,20.0,32.5
c4b,0.05,0.5,1.5,50,11:30,1088,0.911,60.2,48.0,59.8,978,0.776,55.4,-74984.0,26.7,31.8
c4a,0.05,0.5,1.5,50,13:00,1252,0.817,56.8,44.0,29.0,1119,0.846,56.7,-57773.0,20.0,47.0
c4b,0.05,0.5,1.5,50,13:00,1088,0.975,63.0,48.0,196.1,978,0.824,58.4,-61076.0,33.3,32.0
c4a,0.05,0.5,1.5,50,14:30,1252,0.84,58.4,40.0,32.5,1119,0.903,59.6,-36615.0,26.7,90.8
c4b,0.05,0.5,1.5,50,14:30,1088,1.007,62.9,48.0,657.7,978,0.815,57.8,-67111.0,26.7,25.9
c4a,0.05,0.5,2.0,0,11:30,1252,0.671,38.5,32.0,17.3,1119,0.77,42.0,-115176.0,13.3,38.4
c4b,0.05,0.5,2.0,0,11:30,1088,0.821,42.3,40.0,32.5,978,0.755,40.8,-113279.0,26.7,28.7
c4a,0.05,0.5,2.0,0,13:00,1252,0.722,38.0,36.0,19.4,1119,0.811,40.5,-101516.0,13.3,56.3
c4b,0.05,0.5,2.0,0,13:00,1088,0.892,42.9,44.0,55.5,978,0.805,40.7,-97042.0,26.7,21.7
c4a,0.05,0.5,2.0,0,14:30,1252,0.764,38.3,40.0,24.4,1119,0.869,42.5,-72480.0,20.0,79.9
c4b,0.05,0.5,2.0,0,14:30,1088,0.917,41.0,48.0,68.0,978,0.766,38.9,-127252.0,20.0,22.0
c4a,0.05,0.5,2.0,50,11:30,1252,0.756,54.1,36.0,22.1,1119,0.82,55.9,-65291.0,20.0,35.6
c4b,0.05,0.5,2.0,50,11:30,1088,0.928,59.9,44.0,74.1,978,0.786,55.2,-71856.0,26.7,35.7
c4a,0.05,0.5,2.0,50,13:00,1252,0.818,56.5,44.0,29.5,1119,0.876,56.6,-46342.0,20.0,67.3
c4b,0.05,0.5,2.0,50,13:00,1088,1.022,62.8,52.0,229.9,978,0.853,58.1,-50989.0,33.3,35.4
c4a,0.05,0.5,2.0,50,14:30,1252,0.866,58.2,44.0,39.8,1119,0.939,59.3,-23236.0,33.3,167.7
c4b,0.05,0.5,2.0,50,14:30,1088,1.06,62.5,52.0,81.0,978,0.839,57.6,-58671.0,40.0,27.2
c4a,0.05,0.5,2.5,0,11:30,1252,0.696,38.3,36.0,17.9,1119,0.792,41.7,-104560.0,13.3,36.8
c4b,0.05,0.5,2.5,0,11:30,1088,0.813,41.5,32.0,33.2,978,0.774,40.4,-105399.0,26.7,34.8
c4a,0.05,0.5,2.5,0,13:00,1252,0.734,37.4,36.0,21.8,1119,0.831,39.8,-92259.0,13.3,57.6
c4b,0.05,0.5,2.5,0,13:00,1088,0.879,41.5,40.0,51.9,978,0.857,40.4,-71818.0,26.7,34.3
c4a,0.05,0.5,2.5,0,14:30,1252,0.774,37.7,36.0,28.4,1119,0.888,41.6,-62864.0,20.0,100.3
c4b,0.05,0.5,2.5,0,14:30,1088,0.909,39.6,40.0,65.3,978,0.819,38.4,-98885.0,33.3,32.3
c4a,0.05,0.5,2.5,50,11:30,1252,0.776,54.0,36.0,23.6,1119,0.836,55.7,-59437.0,20.0,35.7
c4b,0.05,0.5,2.5,50,11:30,1088,0.93,59.7,52.0,79.3,978,0.802,55.2,-66391.0,40.0,41.8
c4a,0.05,0.5,2.5,50,13:00,1252,0.831,56.5,44.0,31.5,1119,0.896,56.5,-39148.0,20.0,86.0
c4b,0.05,0.5,2.5,50,13:00,1088,1.023,62.5,56.0,223.3,978,0.894,58.1,-36820.0,53.3,52.0
c4a,0.05,0.5,2.5,50,14:30,1252,0.878,58.1,44.0,43.7,1119,0.962,59.2,-14365.0,26.7,303.1
c4b,0.05,0.5,2.5,50,14:30,1088,1.07,62.2,52.0,72.6,978,0.882,57.6,-42931.0,40.0,38.5
c4a,0.1,0.5,1.0,0,11:30,1252,0.692,43.5,24.0,18.2,1119,0.773,47.0,-99668.0,20.0,34.2
c4b,0.1,0.5,1.0,0,11:30,1088,0.826,48.9,36.0,29.6,978,0.732,45.6,-110012.0,20.0,21.6
c4a,0.1,0.5,1.0,0,13:00,1252,0.725,44.6,28.0,19.6,1119,0.797,46.8,-93980.0,13.3,45.8
c4b,0.1,0.5,1.0,0,13:00,1088,0.843,50.3,40.0,35.7,978,0.744,47.2,-112868.0,20.0,19.3
c4a,0.1,0.5,1.0,0,14:30,1252,0.734,45.4,28.0,19.9,1119,0.842,49.6,-74403.0,20.0,61.3
c4b,0.1,0.5,1.0,0,14:30,1088,0.857,49.3,40.0,37.3,978,0.723,46.0,-130299.0,20.0,17.8
c4a,0.1,0.5,1.0,50,11:30,1252,0.741,53.8,28.0,21.5,1119,0.802,56.4,-69325.0,20.0,34.4
c4b,0.1,0.5,1.0,50,11:30,1088,0.903,61.5,48.0,50.1,978,0.767,56.2,-74690.0,26.7,23.9
c4a,0.1,0.5,1.0,50,13:00,1252,0.782,56.5,32.0,26.4,1119,0.834,57.4,-59858.0,20.0,47.0
c4b,0.1,0.5,1.0,50,13:00,1088,0.928,63.5,48.0,64.0,978,0.801,59.7,-66619.0,26.7,24.8
c4a,0.1,0.5,1.0,50,14:30,1252,0.802,58.7,44.0,29.5,1119,0.884,60.5,-42085.0,26.7,72.2
c4b,0.1,0.5,1.0,50,14:30,1088,0.942,63.2,52.0,77.1,978,0.786,59.0,-74992.0,33.3,22.6
c4a,0.1,0.5,1.5,0,11:30,1252,0.69,40.1,28.0,18.2,1119,0.77,43.8,-107268.0,13.3,36.4
c4b,0.1,0.5,1.5,0,11:30,1088,0.827,44.3,36.0,35.0,978,0.756,42.7,-104745.0,26.7,24.8
c4a,0.1,0.5,1.5,0,13:00,1252,0.734,40.1,32.0,20.4,1119,0.803,42.2,-99354.0,13.3,53.0
c4b,0.1,0.5,1.5,0,13:00,1088,0.866,45.2,40.0,46.3,978,0.79,42.8,-98123.0,20.0,22.9
c4a,0.1,0.5,1.5,0,14:30,1252,0.753,40.5,36.0,23.8,1119,0.855,44.7,-74860.0,20.0,70.6
c4b,0.1,0.5,1.5,0,14:30,1088,0.886,43.4,48.0,52.4,978,0.759,40.9,-122846.0,13.3,23.3
c4a,0.1,0.5,1.5,50,11:30,1252,0.756,53.4,32.0,22.8,1119,0.823,56.1,-62027.0,20.0,35.2
c4b,0.1,0.5,1.5,50,11:30,1088,0.934,60.6,56.0,81.3,978,0.793,55.5,-66529.0,26.7,27.7
c4a,0.1,0.5,1.5,50,13:00,1252,0.809,56.0,40.0,29.7,1119,0.869,56.7,-47438.0,26.7,62.8
c4b,0.1,0.5,1.5,50,13:00,1088,0.992,62.7,52.0,610.9,978,0.847,58.7,-51280.0,33.3,28.6
c4a,0.1,0.5,1.5,50,14:30,1252,0.842,58.1,44.0,36.5,1119,0.932,59.9,-24676.0,33.3,140.8
c4b,0.1,0.5,1.5,50,14:30,1088,1.02,62.7,56.0,242.1,978,0.838,58.2,-56842.0,33.3,24.8
c4a,0.1,0.5,2.0,0,11:30,1252,0.684,39.1,32.0,18.4,1119,0.78,42.7,-104575.0,13.3,40.9
c4b,0.1,0.5,2.0,0,11:30,1088,0.821,42.6,32.0,37.0,978,0.784,42.0,-93612.0,33.3,29.9
c4a,0.1,0.5,2.0,0,13:00,1252,0.732,38.7,36.0,20.1,1119,0.813,40.8,-96798.0,13.3,62.4
c4b,0.1,0.5,2.0,0,13:00,1088,0.893,43.3,48.0,63.1,978,0.85,41.7,-71058.0,26.7,33.7
c4a,0.1,0.5,2.0,0,14:30,1252,0.775,39.0,36.0,26.6,1119,0.871,42.9,-69188.0,20.0,91.8
c4b,0.1,0.5,2.0,0,14:30,1088,0.917,41.4,44.0,76.0,978,0.807,40.0,-99822.0,20.0,30.2
c4a,0.1,0.5,2.0,50,11:30,1252,0.755,53.2,36.0,23.1,1119,0.835,55.8,-57720.0,20.0,38.6
c4b,0.1,0.5,2.0,50,11:30,1088,0.939,60.2,56.0,93.8,978,0.814,55.4,-59896.0,33.3,32.4
c4a,0.1,0.5,2.0,50,13:00,1252,0.815,55.8,40.0,29.4,1119,0.886,56.6,-41145.0,20.0,83.5
c4b,0.1,0.5,2.0,50,13:00,1088,1.028,62.5,56.0,189.8,978,0.892,58.5,-36109.0,40.0,39.0
c4a,0.1,0.5,2.0,50,14:30,1252,0.866,57.8,44.0,41.6,1119,0.959,59.6,-14822.0,33.3,278.5
c4b,0.1,0.5,2.0,50,14:30,1088,1.062,62.2,56.0,83.0,978,0.878,58.2,-42698.0,33.3,31.0
c4a,0.1,0.5,2.5,0,11:30,1252,0.699,38.8,36.0,18.6,1119,0.786,42.3,-102662.0,13.3,38.7
c4b,0.1,0.5,2.5,0,11:30,1088,0.806,42.1,32.0,33.2,978,0.782,41.4,-95469.0,40.0,33.9
c4a,0.1,0.5,2.5,0,13:00,1252,0.731,38.2,36.0,21.8,1119,0.821,40.1,-93448.0,13.3,60.7
