bucket,quadrant,horizon,pre_pf,post_pf,delta_pf,post_n,pre_n,post_acc
0.3pct,gap_down_bar_down,120m,3.086,3.893,0.807,1291,1589,67.8
0.3pct,gap_down_bar_down,30m,5.551,6.031,0.48,1291,1589,72.0
0.3pct,gap_down_bar_down,60m,3.667,5.306,1.639,1291,1589,70.8
0.3pct,gap_down_bar_up,120m,3.714,3.965,0.251,1824,2211,67.3
0.3pct,gap_down_bar_up,30m,6.292,7.451,1.159,1824,2211,72.5
0.3pct,gap_down_bar_up,60m,4.47,4.681,0.211,1824,2211,69.4
0.3pct,gap_up_bar_down,120m,3.212,3.504,0.292,2565,5874,69.2
0.3pct,gap_up_bar_down,30m,5.622,5.947,0.325,2565,5874,73.9
0.3pct,gap_up_bar_down,60m,4.077,4.453,0.376,2565,5874,71.9
0.3pct,gap_up_bar_up,120m,2.653,3.187,0.534,1665,3396,65.5
0.3pct,gap_up_bar_up,30m,3.949,4.363,0.414,1665,3396,66.5
0.3pct,gap_up_bar_up,60m,3.238,3.436,0.198,1665,3396,65.8
0.5pct,gap_down_bar_down,120m,3.467,4.459,0.992,845,954,69.7
0.5pct,gap_down_bar_down,60m,3.818,6.025,2.207,845,954,72.5
0.5pct,gap_down_bar_up,120m,4.55,4.78,0.23,1280,1424,69.6
0.5pct,gap_down_bar_up,30m,7.865,9.824,1.959,1280,1424,76.1
0.5pct,gap_up_bar_down,120m,3.545,3.761,0.216,1650,3672,70.7
0.5pct,gap_up_bar_down,30m,6.515,6.772,0.257,1650,3672,75.3
0.5pct,gap_up_bar_down,60m,4.638,4.819,0.181,1650,3672,73.3
0.5pct,gap_up_bar_up,120m,2.879,3.366,0.487,1069,1959,66.0
0.5pct,gap_up_bar_up,30m,4.441,4.777,0.336,1069,1959,68.5
1.0pct,gap_down_bar_down,120m,3.941,5.42,1.479,384,345,72.4
1.0pct,gap_down_bar_down,30m,6.433,7.078,0.645,384,345,74.2
1.0pct,gap_down_bar_down,60m,3.542,6.868,3.326,384,345,75.3
1.0pct,gap_down_bar_up,120m,6.792,8.447,1.655,588,539,77.9
1.0pct,gap_down_bar_up,30m,12.803,19.905,7.102,588,539,84.4
1.0pct,gap_down_bar_up,60m,9.138,11.21,2.072,588,539,79.8
1.0pct,gap_up_bar_down,120m,4.743,5.775,1.032,615,945,74.8
1.0pct,gap_up_bar_down,30m,9.328,10.637,1.309,615,945,80.2
1.0pct,gap_up_bar_down,60m,6.179,7.39,1.211,615,945,77.4
any,gap_down_bar_down,120m,2.523,3.019,0.496,2993,4370,65.0
any,gap_down_bar_down,30m,4.231,4.716,0.485,2993,4370,68.8
any,gap_down_bar_down,60m,3.039,3.921,0.882,2993,4370,68.0
any,gap_down_bar_up,120m,2.647,3.053,0.406,3580,4824,63.2
any,gap_down_bar_up,30m,4.328,5.176,0.848,3580,4824,68.2
any,gap_down_bar_up,60m,3.008,3.571,0.563,3580,4824,65.4
any,gap_up_bar_up,120m,2.206,2.717,0.511,3487,6610,63.0
any,gap_up_bar_up,30m,3.292,3.78,0.488,3487,6610,64.9
any,gap_up_bar_up,60m,2.562,3.023,0.461,3487,6610,63.9
