regime,gap_bucket,quadrant,horizon,n,acc_pct,avg_ret_pct,net_avg_pct,pf
pre_rule,any,gap_up_bar_up,30m,6610,62.48,0.4844,0.2844,3.292
pre_rule,any,gap_up_bar_up,60m,6610,59.15,0.4809,0.2809,2.562
pre_rule,any,gap_up_bar_up,120m,6610,57.75,0.4849,0.2849,2.206
pre_rule,any,gap_up_bar_down,30m,9688,71.08,-0.5476,0.3476,4.813
pre_rule,any,gap_up_bar_down,60m,9688,68.7,-0.5566,0.3566,3.577
pre_rule,any,gap_up_bar_down,120m,9688,65.58,-0.5584,0.3584,2.865
pre_rule,any,gap_down_bar_up,30m,4824,67.89,0.537,0.337,4.328
pre_rule,any,gap_down_bar_up,60m,4824,63.47,0.5149,0.3149,3.008
pre_rule,any,gap_down_bar_up,120m,4824,63.52,0.534,0.334,2.647
pre_rule,any,gap_down_bar_down,30m,4370,67.25,-0.5467,0.3467,4.231
pre_rule,any,gap_down_bar_down,60m,4370,64.14,-0.5345,0.3345,3.039
pre_rule,any,gap_down_bar_down,120m,4370,60.96,-0.5465,0.3465,2.523
pre_rule,0.3pct,gap_up_bar_up,30m,3396,64.46,0.5649,0.3649,3.949
pre_rule,0.3pct,gap_up_bar_up,60m,3396,61.31,0.5834,0.3834,3.238
pre_rule,0.3pct,gap_up_bar_up,120m,3396,60.01,0.5854,0.3854,2.653
pre_rule,0.3pct,gap_up_bar_down,30m,5874,73.73,-0.6028,0.4028,5.622
pre_rule,0.3pct,gap_up_bar_down,60m,5874,70.91,-0.6142,0.4142,4.077
pre_rule,0.3pct,gap_up_bar_down,120m,5874,67.99,-0.6196,0.4196,3.212
pre_rule,0.3pct,gap_down_bar_up,30m,2211,73.27,0.6622,0.4622,6.292
pre_rule,0.3pct,gap_down_bar_up,60m,2211,68.93,0.6538,0.4538,4.47
pre_rule,0.3pct,gap_down_bar_up,120m,2211,68.25,0.6815,0.4815,3.714
pre_rule,0.3pct,gap_down_bar_down,30m,1589,70.55,-0.6905,0.4905,5.551
pre_rule,0.3pct,gap_down_bar_down,60m,1589,65.95,-0.6495,0.4495,3.667
pre_rule,0.3pct,gap_down_bar_down,120m,1589,62.43,-0.6934,0.4934,3.086
pre_rule,0.5pct,gap_up_bar_up,30m,1959,66.16,0.6313,0.4313,4.441
pre_rule,0.5pct,gap_up_bar_up,60m,1959,63.55,0.6669,0.4669,3.79
pre_rule,0.5pct,gap_up_bar_up,120m,1959,61.26,0.6546,0.4546,2.879
pre_rule,0.5pct,gap_up_bar_down,30m,3672,76.09,-0.6703,0.4703,6.515
pre_rule,0.5pct,gap_up_bar_down,60m,3672,72.93,-0.6839,0.4839,4.638
pre_rule,0.5pct,gap_up_bar_down,120m,3672,70.7,-0.6871,0.4871,3.545
pre_rule,0.5pct,gap_down_bar_up,30m,1424,76.12,0.7535,0.5535,7.865
pre_rule,0.5pct,gap_down_bar_up,60m,1424,73.03,0.7605,0.5605,5.739
pre_rule,0.5pct,gap_down_bar_up,120m,1424,71.35,0.7876,0.5876,4.55
pre_rule,0.5pct,gap_down_bar_down,30m,954,73.06,-0.786,0.586,6.478
pre_rule,0.5pct,gap_down_bar_down,60m,954,67.71,-0.7206,0.5206,3.818
pre_rule,0.5pct,gap_down_bar_down,120m,954,64.68,-0.8108,0.6108,3.467
pre_rule,1.0pct,gap_up_bar_up,30m,506,71.54,0.9916,0.7916,7.804
pre_rule,1.0pct,gap_up_bar_up,60m,506,68.58,1.0322,0.8322,6.046
pre_rule,1.0pct,gap_up_bar_up,120m,506,65.81,0.9939,0.7939,4.043
pre_rule,1.0pct,gap_up_bar_down,30m,945,81.38,-0.938,0.738,9.328
pre_rule,1.0pct,gap_up_bar_down,60m,945,77.99,-0.947,0.747,6.179
pre_rule,1.0pct,gap_up_bar_down,120m,945,75.77,-0.9547,0.7547,4.743
pre_rule,1.0pct,gap_down_bar_up,30m,539,82.93,1.0345,0.8345,12.803
pre_rule,1.0pct,gap_down_bar_up,60m,539,80.33,1.0684,0.8684,9.138
pre_rule,1.0pct,gap_down_bar_up,120m,539,77.92,1.0951,0.8951,6.792
pre_rule,1.0pct,gap_down_bar_down,30m,345,73.62,-1.0243,0.8243,6.433
pre_rule,1.0pct,gap_down_bar_down,60m,345,66.09,-0.8853,0.6853,3.542
pre_rule,1.0pct,gap_down_bar_down,120m,345,65.8,-1.1498,0.9498,3.941
post_rule,any,gap_up_bar_up,30m,3487,64.87,0.5093,0.3093,3.78
post_rule,any,gap_up_bar_up,60m,3487,63.92,0.524,0.324,3.023
post_rule,any,gap_up_bar_up,120m,3487,63.03,0.5527,0.3527,2.717
post_rule,any,gap_up_bar_down,30m,4638,70.33,-0.5459,0.3459,4.685
post_rule,any,gap_up_bar_down,60m,4638,68.71,-0.5593,0.3593,3.699
post_rule,any,gap_up_bar_down,120m,4638,65.74,-0.546,0.346,2.88
post_rule,any,gap_down_bar_up,30m,3580,68.16,0.5922,0.3922,5.176
post_rule,any,gap_down_bar_up,60m,3580,65.36,0.5624,0.3624,3.571
post_rule,any,gap_down_bar_up,120m,3580,63.21,0.5808,0.3808,3.053
post_rule,any,gap_down_bar_down,30m,2993,68.79,-0.5611,0.3611,4.716
