[I 2026-04-28 11:26:36,114] A new study created in RDB with name: gauntlet_v2
[I 2026-04-28 11:26:54,530] Trial 0 finished with value: -inf and parameters: {'daily_cap': 69, 'min_predicted_r': 1.4014286128198323, 'cooloff_bars': 9, 'require_setup_change': True, 'f1_rvol_threshold_pct': 57.01975341512912, 'f2_crowdedness_threshold': 14, 'f2_crowdedness_window_min': 14, 'rank_pctl_min': 0.7005575058716045}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:27:16,606] Trial 1 finished with value: -inf and parameters: {'daily_cap': 112, 'min_predicted_r': -0.4588310114083951, 'cooloff_bars': 12, 'require_setup_change': True, 'f1_rvol_threshold_pct': 58.18212352431953, 'f2_crowdedness_threshold': 23, 'f2_crowdedness_window_min': 6, 'rank_pctl_min': 0.6623782158161189}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:27:33,695] Trial 2 finished with value: -inf and parameters: {'daily_cap': 76, 'min_predicted_r': 0.08245828039608383, 'cooloff_bars': 7, 'require_setup_change': False, 'f1_rvol_threshold_pct': 66.48628294821613, 'f2_crowdedness_threshold': 42, 'f2_crowdedness_window_min': 13, 'rank_pctl_min': 0.4998368910791799}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:27:51,000] Trial 3 finished with value: -inf and parameters: {'daily_cap': 87, 'min_predicted_r': 0.6848291377240849, 'cooloff_bars': 0, 'require_setup_change': True, 'f1_rvol_threshold_pct': 52.92732168433758, 'f2_crowdedness_threshold': 77, 'f2_crowdedness_window_min': 15, 'rank_pctl_min': 0.8041986740582305}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:28:08,336] Trial 4 finished with value: -inf and parameters: {'daily_cap': 59, 'min_predicted_r': -0.30465577198723226, 'cooloff_bars': 8, 'require_setup_change': True, 'f1_rvol_threshold_pct': 72.28296095500716, 'f2_crowdedness_threshold': 12, 'f2_crowdedness_window_min': 14, 'rank_pctl_min': 0.5293899908000085}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:28:24,896] Trial 5 finished with value: -inf and parameters: {'daily_cap': 106, 'min_predicted_r': 0.12342215217882191, 'cooloff_bars': 6, 'require_setup_change': True, 'f1_rvol_threshold_pct': 93.63130824940514, 'f2_crowdedness_threshold': 65, 'f2_crowdedness_window_min': 15, 'rank_pctl_min': 0.8474136752138244}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:28:41,752] Trial 6 finished with value: -inf and parameters: {'daily_cap': 98, 'min_predicted_r': 1.3437484700462337, 'cooloff_bars': 1, 'require_setup_change': True, 'f1_rvol_threshold_pct': 64.63986488434689, 'f2_crowdedness_threshold': 37, 'f2_crowdedness_window_min': 6, 'rank_pctl_min': 0.8143687545759647}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:28:59,423] Trial 7 finished with value: -inf and parameters: {'daily_cap': 66, 'min_predicted_r': 0.061869019374761525, 'cooloff_bars': 7, 'require_setup_change': False, 'f1_rvol_threshold_pct': 53.35477896558969, 'f2_crowdedness_threshold': 80, 'f2_crowdedness_window_min': 13, 'rank_pctl_min': 0.4993578407670862}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:29:17,121] Trial 8 finished with value: -inf and parameters: {'daily_cap': 20, 'min_predicted_r': 1.1309228569096683, 'cooloff_bars': 9, 'require_setup_change': False, 'f1_rvol_threshold_pct': 53.33200932803407, 'f2_crowdedness_threshold': 35, 'f2_crowdedness_window_min': 4, 'rank_pctl_min': 0.8315517129377967}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:29:34,033] Trial 9 finished with value: -inf and parameters: {'daily_cap': 101, 'min_predicted_r': 0.16179604970529837, 'cooloff_bars': 0, 'require_setup_change': False, 'f1_rvol_threshold_pct': 82.83227802521289, 'f2_crowdedness_threshold': 55, 'f2_crowdedness_window_min': 14, 'rank_pctl_min': 0.6361074625809746}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:29:50,150] Trial 10 finished with value: -inf and parameters: {'daily_cap': 143, 'min_predicted_r': 0.8686121362959752, 'cooloff_bars': 4, 'require_setup_change': True, 'f1_rvol_threshold_pct': 79.33399478501804, 'f2_crowdedness_threshold': 12, 'f2_crowdedness_window_min': 10, 'rank_pctl_min': 0.7000078093465156}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:30:15,044] Trial 11 finished with value: -inf and parameters: {'daily_cap': 129, 'min_predicted_r': -0.4864402318074825, 'cooloff_bars': 12, 'require_setup_change': True, 'f1_rvol_threshold_pct': 60.50452104459998, 'f2_crowdedness_threshold': 25, 'f2_crowdedness_window_min': 8, 'rank_pctl_min': 0.6706971013923879}. Best is trial 0 with value: -inf.
[I 2026-04-28 11:30:39,473] Trial 12 finished with value: -inf and parameters: {'daily_cap': 40, 'min_predicted_r': 1.4708536148995062, 'cooloff_bars': 12, 'require_setup_change': True, 'f1_rvol_threshold_pct': 59.67760664224642, 'f2_crowdedness_threshold': 24, 'f2_crowdedness_window_min': 10, 'rank_pctl_min': 0.6016187060042845}. Best is trial 0 with value: -inf.
