dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"direction,cap_segment,dow",3,direction=SHORT | cap_segment=large_cap | dow=Sat,130,2.1679802833810493,69.23076923076923,48873.5851790616,0.0,1,100.0,0.0,100.0
"R_size_bucket,dow,month",3,R_size_bucket=2-3% | dow=Tue | month=Oct,126,1.8872473665638734,63.49206349206349,31542.461233308073,0.6473148847897753,1,100.0,0.0,100.0
"direction,dow,entry_hour_bucket",3,direction=SHORT | dow=Sat | entry_hour_bucket=11:00,127,1.7958730086147219,64.56692913385827,36373.54963058684,0.0,1,100.0,0.0,100.0
"direction,dow,month",3,direction=SHORT | dow=Mon | month=Jan,2495,1.6642137250932396,63.08617234468939,628206.3810224532,0.4566694201003679,1,100.0,0.0,100.0
"direction,dow,month",3,direction=SHORT | dow=Thu | month=Jun,2722,1.5976388735522464,64.10727406318884,610396.5713942754,0.5972138131601341,1,100.0,0.0,100.0
"dow,month,entry_hour_bucket",3,dow=Fri | month=Apr | entry_hour_bucket=09:00,1034,1.5648132726075836,63.2495164410058,218707.01427740112,0.43082908069844517,1,100.0,0.0,100.0
"direction,dow,month",3,direction=SHORT | dow=Fri | month=Feb,2820,1.4474992662903454,61.843971631205676,480861.3459741634,0.6037746268591125,1,100.0,0.0,100.0
"direction,dow,month",3,direction=SHORT | dow=Fri | month=Jul,2723,1.3935714027202635,62.504590525156075,416489.51419842854,1.029427487059438,1,100.0,0.0,100.0
"cap_segment,R_size_bucket,dow",3,cap_segment=large_cap | R_size_bucket=2-3% | dow=Tue,142,1.3888832191303404,55.633802816901415,18544.75321048664,0.2534143688694018,13,69.2,30.8,34.0
"dow,month,entry_hour_bucket",3,dow=Mon | month=Oct | entry_hour_bucket=09:00,1291,1.382521642586251,59.64368706429125,202080.5617423808,0.3413754333207057,1,100.0,0.0,100.0
"dow,month,entry_hour_bucket",3,dow=Mon | month=Mar | entry_hour_bucket=12:00,450,1.3691115448571427,61.111111111111114,67835.98380737114,0.3329769272949653,1,100.0,0.0,100.0
"direction,R_size_bucket,month",3,direction=SHORT | R_size_bucket=2-3% | month=Aug,171,1.3682396298943431,60.81871345029239,18612.557576876035,0.41588754183070625,1,100.0,0.0,100.0
"direction,month,entry_hour_bucket",3,direction=SHORT | month=Feb | entry_hour_bucket=09:00,3643,1.3672425729743203,60.27998902003843,512744.0207654489,0.3008485381914705,1,100.0,0.0,100.0
"direction,R_size_bucket,dow",3,direction=SHORT | R_size_bucket=<0.5% | dow=Sat,138,1.3612694872533,61.59420289855072,22017.33786410539,0.0,1,100.0,0.0,100.0
"direction,mother_size_bucket,dow",3,direction=SHORT | mother_size_bucket=<0.5% | dow=Sat,289,1.3610603490265796,60.553633217993074,45357.44968414647,0.0,1,100.0,0.0,100.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Mar | entry_hour_bucket=12:00,195,1.3346655273488521,58.46153846153847,25377.73326926275,0.12366594654409593,1,100.0,0.0,100.0
"direction,time_bucket,dow",3,direction=SHORT | time_bucket=midsession | dow=Sat,130,1.326226257665418,58.46153846153847,17238.168688619095,0.0,1,100.0,0.0,100.0
"direction,mother_size_bucket,month",3,direction=SHORT | mother_size_bucket=2-3% | month=Jan,103,1.3135804242383735,62.13592233009708,9570.579840605762,0.18448032636645706,1,100.0,0.0,100.0
