dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"R_size_bucket,dow,month",3,R_size_bucket=3%+ | dow=Mon | month=Apr,477,6.943131933411324,78.82599580712788,120959.10646450837,0.645620128589215,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=L<15 | dow=Wed | month=Feb,184,6.629095664101193,82.06521739130434,144115.32806149576,0.5805212423092854,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=L15-20 | dow=Wed | month=Feb,291,6.415627702748437,83.16151202749141,230660.19033321243,0.5663098962483021,1,100.0,0.0,100.0
"rsi_severity_fine,R_size_bucket,month",3,rsi_severity_fine=L15-20 | R_size_bucket=3%+ | month=Apr,217,6.041980066228366,79.26267281105991,51553.41119957353,0.29113343440882566,1,100.0,0.0,100.0
"direction,dow,month",3,direction=long | dow=Wed | month=Feb,798,5.8796683482461995,81.32832080200501,600833.0317690785,0.5642079847825896,1,100.0,0.0,100.0
"rsi_severity_fine,R_size_bucket,month",3,rsi_severity_fine=L<15 | R_size_bucket=3%+ | month=Apr,158,5.418662615757421,75.9493670886076,41239.73231891844,0.30862652181062183,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=L20-25 | dow=Wed | month=Feb,323,5.114891910152829,79.25696594427245,226057.51337437032,0.5521520239977399,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=S75-80 | dow=Fri | month=Feb,195,5.068581575555497,80.0,106462.44967251277,0.5675737460729418,1,100.0,0.0,100.0
"direction,R_size_bucket,month",3,direction=long | R_size_bucket=3%+ | month=Apr,519,4.674648921382583,74.75915221579962,113916.2147171179,0.2386503052644524,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=L15-20 | dow=Wed | month=Oct,118,4.195659921251652,70.33898305084746,41003.933394943946,0.5892336871135548,1,100.0,0.0,100.0
"cap_segment,R_size_bucket,month",3,cap_segment=large_cap | R_size_bucket=3%+ | month=Apr,186,4.085312607993492,70.43010752688173,41037.26619168834,0.3057493383152052,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=L15-20 | dow=Wed | month=May,168,4.026961311684918,73.21428571428571,84106.97466017838,0.4901600712533627,1,100.0,0.0,100.0
"direction,dow,month",3,direction=short | dow=Fri | month=Feb,329,3.9904761442133734,78.11550151975683,152928.52179459963,0.5862847829639029,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=L<15 | dow=Mon | month=Apr,340,3.903012836709809,78.82352941176471,133707.12772358966,0.5734144930708877,1,100.0,0.0,100.0
"tod_bucket,dow,month",3,tod_bucket=afternoon | dow=Thu | month=Aug,204,3.7689014540298813,70.09803921568627,93613.4552256692,0.3957732617401688,1,100.0,0.0,100.0
"direction,dow,month",3,direction=long | dow=Mon | month=Apr,1099,3.589666383909417,77.34303912647862,394649.22186887334,0.6453947474620146,1,100.0,0.0,100.0
