thresh,bucket,n_evt,evt_15m,evt_30m,evt_60m,base_15m,base_30m,base_60m,delta_15m,delta_30m,delta_60m
vr>=3.0,DN_Q1,600032,0.07022344,0.08223627,0.08389402,0.038843386,0.043224912,0.03514126,0.031380057,0.039011355,0.048752762
vr>=3.0,DN_Q2,283582,0.01653989,0.016034923,0.011208788,0.013297628,0.008876234,-0.0020964898,0.0032422626,0.007158689,0.013305278
vr>=3.0,DN_Q3,210522,0.009250825,0.010521074,0.0016120276,0.0072464487,0.006657422,-0.0028243805,0.0020043766,0.0038636518,0.004436408
vr>=3.0,DN_Q4,181913,0.0038728116,0.00497471,0.00357112,0.0011544303,-0.0017511417,-0.010102224,0.0027183811,0.0067258514,0.013673344
vr>=3.0,DN_Q5,170878,-0.0035138165,-0.0042783255,-0.0038094595,-0.0033234644,-0.0048147533,-0.008959684,-0.00019035209,0.00053642783,0.005150224
vr>=3.0,UP_Q1,160061,0.0054842387,0.0068395184,0.0033355271,-0.0040674806,-0.0029728457,-0.006555777,0.009551719,0.009812364,0.009891304
vr>=3.0,UP_Q2,171322,0.0010844654,0.0030489836,0.0012809486,-0.011122941,-0.008957894,-0.013441071,0.012207407,0.012006877,0.014722019
vr>=3.0,UP_Q3,203210,-0.0019531788,-0.0021951667,-0.010503613,-0.017366469,-0.017387977,-0.027253794,0.01541329,0.01519281,0.01675018
vr>=3.0,UP_Q4,282746,-0.0031737138,-0.0041876025,-0.0067852866,-0.022512536,-0.0244087,-0.028026784,0.019338822,0.020221097,0.021241497
vr>=3.0,UP_Q5,699492,-0.016628304,-0.018656254,-0.021322299,-0.048012868,-0.042171028,-0.042376682,0.031384565,0.023514774,0.021054383
vr>=3.0,ZERO,202204,0.0063248924,0.0064763604,0.010183966,-0.0055998615,-0.008904132,-0.019604938,0.011924754,0.015380492,0.029788904
vr>=5.0,DN_Q1,351271,0.075762235,0.09025661,0.09281146,0.038843386,0.043224912,0.03514126,0.03691885,0.047031697,0.0576702
vr>=5.0,DN_Q2,138847,0.018713037,0.019418297,0.015203518,0.013297628,0.008876234,-0.0020964898,0.005415409,0.010542063,0.017300008
vr>=5.0,DN_Q3,99672,0.009408946,0.011207524,0.006694225,0.0072464487,0.006657422,-0.0028243805,0.0021624975,0.0045501017,0.009518606
vr>=5.0,DN_Q4,86128,0.0042072344,0.0055020596,0.006282826,0.0011544303,-0.0017511417,-0.010102224,0.0030528042,0.007253201,0.016385049
vr>=5.0,DN_Q5,81333,-0.004709746,-0.005252388,-0.0023202703,-0.0033234644,-0.0048147533,-0.008959684,-0.0013862818,-0.00043763453,0.0066394135
vr>=5.0,UP_Q1,76724,0.0071468498,0.006244267,0.004609508,-0.0040674806,-0.0029728457,-0.006555777,0.011214331,0.009217112,0.0111652855
vr>=5.0,UP_Q2,83156,0.0030720937,0.006229897,0.0092188725,-0.011122941,-0.008957894,-0.013441071,0.014195034,0.015187791,0.022659943
vr>=5.0,UP_Q3,99179,-0.0017968818,-0.00058850326,-0.00844937,-0.017366469,-0.017387977,-0.027253794,0.015569587,0.016799474,0.018804424
vr>=5.0,UP_Q4,144641,0.00057709747,-0.0004058956,-0.0005417276,-0.022512536,-0.0244087,-0.028026784,0.023089634,0.024002803,0.027485056
vr>=5.0,UP_Q5,445400,-0.015876422,-0.017258063,-0.016899096,-0.048012868,-0.042171028,-0.042376682,0.032136448,0.024912965,0.025477586
vr>=5.0,ZERO,109290,0.0074659535,0.011270192,0.018064061,-0.0055998615,-0.008904132,-0.019604938,0.013065815,0.020174325,0.037669
vr>=7.0,DN_Q1,238191,0.080761045,0.09415179,0.096628234,0.038843386,0.043224912,0.03514126,0.04191766,0.050926875,0.061486974
vr>=7.0,DN_Q2,84810,0.020253262,0.022078903,0.019242536,0.013297628,0.008876234,-0.0020964898,0.006955634,0.013202669,0.021339025
vr>=7.0,DN_Q3,60372,0.010478903,0.0133957695,0.008805734,0.0072464487,0.006657422,-0.0028243805,0.003232454,0.0067383475,0.011630114
vr>=7.0,DN_Q4,52410,0.005479876,0.009021533,0.012403707,0.0011544303,-0.0017511417,-0.010102224,0.0043254457,0.010772674,0.022505932
vr>=7.0,DN_Q5,49759,-0.0029830607,-0.0045836414,-2.7784119e-05,-0.0033234644,-0.0048147533,-0.008959684,0.00034040376,0.00023111189,0.008931899
vr>=7.0,UP_Q1,47262,0.0077250977,0.01108614,0.013041838,-0.0040674806,-0.0029728457,-0.006555777,0.011792578,0.014058986,0.019597616
vr>=7.0,UP_Q2,51447,0.0042052176,0.0069661103,0.01208924,-0.011122941,-0.008957894,-0.013441071,0.015328159,0.015924003,0.025530312
vr>=7.0,UP_Q3,61273,0.00060238736,0.0036552371,-0.0038234873,-0.017366469,-0.017387977,-0.027253794,0.017968856,0.021043215,0.023430306
vr>=7.0,UP_Q4,90934,-0.00029846613,-0.00034333605,-0.0020266725,-0.022512536,-0.0244087,-0.028026784,0.02221407,0.024065364,0.026000112
vr>=7.0,UP_Q5,320498,-0.019406749,-0.020494252,-0.019367976,-0.048012868,-0.042171028,-0.042376682,0.028606119,0.021676775,0.023008706
vr>=7.0,ZERO,72042,0.0085790455,0.013315457,0.021502206,-0.0055998615,-0.008904132,-0.019604938,0.0141789075,0.022219589,0.041107144
vr>=10.0,DN_Q1,154022,0.083783865,0.097108275,0.10158877,0.038843386,0.043224912,0.03514126,0.04494048,0.053883363,0.06644751
vr>=10.0,DN_Q2,49901,0.025965203,0.023773883,0.02170218,0.013297628,0.008876234,-0.0020964898,0.012667575,0.014897648,0.023798669
vr>=10.0,DN_Q3,35282,0.010303699,0.010430761,0.005027741,0.0072464487,0.006657422,-0.0028243805,0.0030572508,0.0037733386,0.007852122
