T0_signal_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,entry_hhmm,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2023-10-25,NSE:ABFRL,mid_cap,SHORT,206.8283,9733098,3012517,323.0885668031085,GRIFFIN GROWTH FUND VCC,14:30,2023-10-25 14:30:00,212.85,213.91424999999998,1.064249999999987,212.21144999999999,211.78575,True,212.21144999999999,2023-10-25 14:35:00,2023-10-25 14:40:00,211.9983733226837,t2,939,799.6774499999983,165.26100535560528,634.4164446443931
2024-08-07,NSE:ADFFOODS,small_cap,SHORT,84.59,3845000,195910,1962.6359042417437,INFINITY HOLDINGS,14:30,2024-08-07 14:30:00,221.8,222.909,1.1089999999999804,221.1346,220.691,True,221.1346,2024-08-07 15:05:00,2024-08-07 15:05:00,220.9125538290788,t2,901,799.5890000000063,165.25237164546598,634.3366283545404
2024-08-20,NSE:ADFFOODS,small_cap,SHORT,100.1044,4400000,1206518,364.68581488216506,INFINITY HOLDINGS,14:30,2024-08-20 14:30:00,235.0,236.17499999999998,1.174999999999983,234.295,233.825,False,,,2024-08-20 14:35:00,236.17499999999998,stop,851,-999.9249999999855,118.22447876455,-1118.1494787645356
2024-08-28,NSE:ADFFOODS,small_cap,SHORT,47.2516,1755000,1263035,138.95101877620178,INFINITY HOLDINGS,14:30,2024-08-28 14:30:00,267.85,269.18925,1.3392499999999927,267.04645000000005,266.51075000000003,True,267.04645000000005,2024-08-28 14:40:00,2024-08-28 14:40:00,266.77860000000004,t2,746,799.2643999999872,165.24327485705356,634.0211251429337
2024-06-19,NSE:ADVENZYMES,small_cap,SHORT,425.5499,11053245,312344,3538.8049714417434,ORBIMED ASIA III MAURITIUS LIMITED,14:30,2024-06-19 14:30:00,378.4,380.2919999999999,1.891999999999939,377.2648,376.508,True,377.2648,2024-06-19 14:35:00,2024-06-19 14:40:00,376.8864,t2,528,799.1807999999983,165.2358649213952,633.9449350786031
2023-11-10,NSE:APTUS,mid_cap,SHORT,213.4114,7435937,2074306,358.478305515194,PEAK XV PARTNERS INVESTMENTS VI,14:30,2023-11-10 14:30:00,296.3,297.7815,1.4814999999999827,295.41110000000003,294.81850000000003,False,,,2023-11-10 14:50:00,297.7815,stop,674,-998.5309999999884,118.125463214986,-1116.6564632149743
2024-02-28,NSE:APTUS,mid_cap,SHORT,105.2843,3205000,163236,1963.41493298047,STEADVIEW CAPITAL OPPORTUNITIES PCC,14:30,2024-02-28 14:30:00,329.5,331.1475,1.6474999999999795,328.5115,327.8525,False,,,2024-02-28 15:05:00,331.1475,stop,606,-998.3849999999876,118.11509286331002,-1116.5000928632976
2024-09-11,NSE:ARVINDFASN,mid_cap,SHORT,323.2381,5623000,5646784,99.57880450181908,MULTIPLES PRIVATE EQUITY FUND II LLP / PLENTY CI FUND I LIMITED / PLENTY PRIVATE EQUITY FUND I LIMITED,14:30,2024-09-11 14:30:00,582.1,585.0105,2.9104999999999563,580.3537,579.1895000000001,False,,,2024-09-11 14:35:00,585.0105,stop,343,-998.301499999985,118.109161874509,-1116.410661874494
2024-08-14,NSE:ASHAPURMIN,mid_cap,SHORT,117.9035,3467750,279914,1238.8626506712776,LTS INVESTMENT FUND LTD,14:30,2024-08-14 14:30:00,346.0,347.72999999999996,1.7299999999999613,344.962,344.27,True,344.962,2024-08-14 14:35:00,2024-08-14 14:35:00,344.61600000000004,t2,578,799.9520000000084,165.304220691488,634.6477793085204
2024-12-11,NSE:AWFIS,small_cap,SHORT,415.7459,5856401,2698618,217.0148201783283,BISQUE LIMITED / PEAK XV PARTNERS INVESTMENTS V,14:30,2024-12-11 14:30:00,771.9,775.7594999999999,3.859499999999912,769.5843,768.0405,False,,,2024-12-11 14:35:00,775.7594999999999,stop,259,-999.6104999999772,118.202139890563,-1117.8126398905401
