dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
direction,1,direction=LONG,207104,0.6341875472795409,43.293224660074166,-42234822.32684067,-1.0962814678257924,24,0.0,100.0,6.2
direction,1,direction=SHORT,235300,0.9029364330066316,52.05269868253294,-10700120.218154201,-0.19021619470508025,24,20.8,79.2,12.9
cap_segment,1,cap_segment=large_cap,131489,0.7894250184634879,48.84210846534691,-13786589.949749883,-1.1044804495832543,24,0.0,100.0,7.1
cap_segment,1,cap_segment=mid_cap,139765,0.7770781991100891,48.319679461953996,-15814068.879491922,-1.1495913819807138,24,0.0,100.0,7.8
cap_segment,1,cap_segment=small_cap,171150,0.7386450776008389,46.96815658778849,-23334283.715753082,-1.2655421431099934,24,0.0,100.0,7.7
time_bucket,1,time_bucket=afternoon,36928,0.5843904619063333,40.0536178509532,-6729345.037297524,-1.5788939245730347,24,0.0,100.0,5.5
time_bucket,1,time_bucket=midsession,90767,0.7023171719809156,46.510295592010316,-14066839.667541195,-1.4379156858604503,24,0.0,100.0,5.7
time_bucket,1,time_bucket=morning,314709,0.8019148255916569,49.294745304392315,-32138757.840156153,-0.892935800200196,24,0.0,100.0,9.3
mother_size_bucket,1,mother_size_bucket=<0.5%,291616,0.742628536285483,47.78647262152968,-39153932.06142753,-1.633748593068462,24,0.0,100.0,6.8
mother_size_bucket,1,mother_size_bucket=0.5-1%,114283,0.8081660112576833,48.622279779144755,-10984500.547514958,-0.6860487768292188,24,0.0,100.0,10.5
mother_size_bucket,1,mother_size_bucket=1-2%,31815,0.8384648811808635,47.66933836240767,-2329803.1124518327,-0.3138777344649055,24,8.3,91.7,12.8
mother_size_bucket,1,mother_size_bucket=2-3%,3604,0.761120046641921,44.03440621531631,-358838.44176240405,-0.25881752404529074,24,8.3,91.7,12.1
mother_size_bucket,1,mother_size_bucket=3%+,1086,0.7143110590256703,43.18600368324125,-107868.3818381549,-0.1777033909735012,24,20.8,79.2,22.4
inside_pos_bucket,1,inside_pos_bucket=lower-third,319979,0.7944565655933329,48.93696148809766,-33113330.245546624,-0.9414638539033036,24,0.0,100.0,8.3
